Account,Security,Order ID,Trade Date,Trade Time,Side,Liquidity,Route,Quantity,Price,Lime Fee,ECN Fee,ACT Fee,SEC Fee,NASD Fee,Rounded Order Commission
MRTTRADING1,RSX,'37280644336295',9/18/2014,15:58:52,3,Removed-MidPoint,BSX,100,23.705,0.08,-0.03,0,0.05,0.02,0.12
MRTTRADING1,SPY,'37392313485991',9/18/2014,15:58:52,1,Removed,EDGAA,100,201.75,0.08,-0.02,0,0,0,0.06
MRTTRADING1,RSX,'37521162504871',9/18/2014,15:58:52,3,Removed,BATSY,100,23.7,0.08,-0.16,0,0.05,0.02,-0.01
MRTTRADING1,RSX,'37529752439463',9/18/2014,15:58:52,3,Removed,EDGAA,100,23.7,0.08,-0.02,0,0.05,0.02,0.13
MRTTRADING1,RSX,'37546932308647',9/18/2014,15:58:52,3,Removed-MidPoint,BSX,100,23.705,0.08,-0.03,0,0.05,0.02,0.12
MRTTRADING1,SPY,'37658601458343',9/18/2014,15:58:52,1,Removed,EDGAA,100,201.75,0.08,-0.02,0,0,0,0.06
MRTTRADING1,RSX,'37787450477223',9/18/2014,15:58:52,3,Removed,BATSY,100,23.7,0.08,-0.16,0,0.05,0.02,-0.01
MRTTRADING1,RSX,'37804630346407',9/18/2014,15:58:52,3,Removed,EDGAA,70,23.7,0.056,-0.014,0,0.04,0.01,0.14
MRTTRADING1,RSX,'37804630346407',9/18/2014,15:58:52,3,Removed,EDGAA,30,23.7,0.024,-0.006,0,0.02,0.01,0
MRTTRADING1,RSX,'37813220280999',9/18/2014,15:58:52,3,Removed,BSX,100,23.7,0.08,-0.04,0,0.05,0.02,0.11
MRTTRADING1,SPY,'37924889430695',9/18/2014,15:58:52,1,Removed,EDGAA,100,201.75,0.08,-0.02,0,0,0,0.06
MRTTRADING1,RSX,'38053738449575',9/18/2014,15:58:52,3,Removed,BATSY,100,23.7,0.08,-0.16,0,0.05,0.02,-0.01
MRTTRADING1,RSX,'38070918318759',9/18/2014,15:58:52,3,Removed,EDGAA,70,23.7,0.056,-0.014,0,0.04,0.01,0.14
MRTTRADING1,RSX,'38070918318759',9/18/2014,15:58:52,3,Removed,EDGAA,30,23.7,0.024,-0.006,0,0.02,0.01,0
MRTTRADING1,RSX,'38088098187943',9/18/2014,15:58:52,3,Removed,BSX,100,23.7,0.08,-0.04,0,0.05,0.02,0.11
MRTTRADING1,SPY,'38191177403047',9/18/2014,15:58:52,1,Removed,EDGAA,100,201.75,0.08,-0.02,0,0,0,0.06
MRTTRADING1,RSX,'38320026421927',9/18/2014,15:58:52,3,Removed,BATSY,100,23.7,0.08,-0.16,0,0.05,0.02,-0.01
MRTTRADING1,RSX,'38328616356519',9/18/2014,15:58:52,3,Removed,EDGAA,30,23.7,0.024,-0.006,0,0.02,0.01,0.14
MRTTRADING1,RSX,'38328616356519',9/18/2014,15:58:52,3,Removed,EDGAA,70,23.7,0.056,-0.014,0,0.04,0.01,0
MRTTRADING1,RSX,'38345796225703',9/18/2014,15:58:52,3,Removed,BSX,100,23.7,0.08,-0.04,0,0.05,0.02,0.11
MRTTRADING1,SPY,'38457465375399',9/18/2014,15:58:52,1,Removed,EDGAA,100,201.75,0.08,-0.02,0,0,0,0.06
MRTTRADING1,RSX,'38586314394279',9/18/2014,15:58:53,3,Removed,BATSY,100,23.7,0.08,-0.16,0,0.05,0.02,-0.01
MRTTRADING1,RSX,'38594904328871',9/18/2014,15:58:53,3,Removed,EDGAA,100,23.7,0.08,-0.02,0,0.05,0.02,0.13
MRTTRADING1,RSX,'38612084198055',9/18/2014,15:58:53,3,Removed,BSX,35,23.7,0.028,-0.014,0,0.02,0.01,0.11
MRTTRADING1,RSX,'38612084198055',9/18/2014,15:58:53,3,Removed,BSX,65,23.7,0.052,-0.026,0,0.03,0.01,0
MRTTRADING1,SPY,'38723753347751',9/18/2014,15:58:53,1,Removed,EDGAA,100,201.75,0.08,-0.02,0,0,0,0.06
MRTTRADING1,RSX,'38852602366631',9/18/2014,15:58:53,3,Removed,BATSY,100,23.7,0.08,-0.16,0,0.05,0.02,-0.01
MRTTRADING1,RSX,'38869782235815',9/18/2014,15:58:53,3,Removed,EDGAA,100,23.7,0.08,-0.02,0,0.05,0.02,0.13
MRTTRADING1,RSX,'38878372170407',9/18/2014,15:58:53,3,Removed,BSX,100,23.7,0.08,-0.04,0,0.05,0.02,0.11
MRTTRADING1,SPY,'38990041320103',9/18/2014,15:58:53,1,Removed,EDGAA,100,201.75,0.08,-0.02,0,0,0,0.06
MRTTRADING1,XLI,'39024401058471',9/18/2014,15:58:53,3,Removed,EDGAA,100,54.77,0.08,-0.02,0,0.12,0.02,0.2
MRTTRADING1,RSX,'39127480273575',9/18/2014,15:58:53,3,Removed,BATSY,63,23.7,0.0504,-0.1008,0,0.03,0.01,-0.01
MRTTRADING1,RSX,'39127480273575',9/18/2014,15:58:53,3,Removed,BATSY,37,23.7,0.0296,-0.0592,0,0.02,0.01,0
MRTTRADING1,RSX,'39144660142759',9/18/2014,15:58:53,3,Removed,EDGAA,100,23.7,0.08,-0.02,0,0.05,0.02,0.13
MRTTRADING1,RSX,'39153250077351',9/18/2014,15:58:53,3,Removed,BSX,100,23.7,0.08,-0.04,0,0.05,0.02,0.11
